location_id,city,state,country,postal_code,region,market
1,New York City,New York,United States,10024.0,East,US
2,Wollongong,New South Wales,Australia,,Oceania,APAC
3,Brisbane,Queensland,Australia,,Oceania,APAC
4,Berlin,Berlin,Germany,,Central,EU
5,Dakar,Dakar,Senegal,,Africa,Africa
6,Sydney,New South Wales,Australia,,Oceania,APAC
7,Porirua,Wellington,New Zealand,,Oceania,APAC
8,Hamilton,Waikato,New Zealand,,Oceania,APAC
9,Sacramento,California,United States,95823.0,West,US
10,Concord,North Carolina,United States,28027.0,South,US
11,Alexandria,Virginia,United States,22304.0,South,US
12,Kabul,Kabul,Afghanistan,,Central Asia,APAC
13,Jizan,Jizan,Saudi Arabia,,EMEA,EMEA
14,Toledo,Parana,Brazil,,South,LATAM
15,Mudanjiang,Heilongjiang,China,,North Asia,APAC
16,Paris,Ile-de-France,France,,Central,EU
17,Henderson,Kentucky,United States,42420.0,South,US
18,Prato,Tuscany,Italy,,South,EU
19,Townsville,Queensland,Australia,,Oceania,APAC
20,Uvinza,Kigoma,Tanzania,,Africa,Africa
21,Bytom,Silesia,Poland,,EMEA,EMEA
22,Chicago,Illinois,United States,60610.0,Central,US
23,Suzhou,Anhui,China,,North Asia,APAC
24,Edinburgh,Scotland,United Kingdom,,North,EU
25,Juárez,Chihuahua,Mexico,,North,LATAM
26,Soyapango,San Salvador,El Salvador,,Central,LATAM
27,Taipei,Taipei City,Taiwan,,North Asia,APAC
28,Leipzig,Saxony,Germany,,Central,EU
29,Los Angeles,California,United States,90008.0,West,US
30,Surat,Gujarat,India,,Central Asia,APAC
31,Santo Domingo,Santo Domingo,Dominican Republic,,Caribbean,LATAM
32,Saint-Brieuc,Brittany,France,,Central,EU
33,Amarillo,Texas,United States,79109.0,Central,US
34,Gold Coast,Queensland,Australia,,Oceania,APAC
35,Fresno,California,United States,93727.0,West,US
36,Kamina,Katanga,Democratic Republic of the Congo,,Africa,Africa
37,New York City,New York,United States,10009.0,East,US
38,Burlington,North Carolina,United States,27217.0,South,US
39,Stockton-on-Tees,England,United Kingdom,,North,EU
40,Mataram,Nusa Tenggara Barat,Indonesia,,Southeast Asia,APAC
41,Gorakhpur,Haryana,India,,Central Asia,APAC
42,Thiruvananthapuram,Kerala,India,,Central Asia,APAC
43,Huddersfield,England,United Kingdom,,North,EU
44,Minneapolis,Minnesota,United States,55407.0,Central,US
45,Montreuil,Ile-de-France,France,,Central,EU
46,Shouguang,Shandong,China,,North Asia,APAC
47,Jamshedpur,Jharkhand,India,,Central Asia,APAC
48,Paysandú,Paysandú,Uruguay,,South,LATAM
49,Behshahr,Mazandaran,Iran,,EMEA,EMEA
50,Huntington Beach,California,United States,92646.0,West,US
51,Maputo,Cidade De Maputo,Mozambique,,Africa,Africa
52,Bhopal,Madhya Pradesh,India,,Central Asia,APAC
53,Seattle,Washington,United States,98115.0,West,US
54,Delhi,Delhi,India,,Central Asia,APAC
55,Geraldton,Western Australia,Australia,,Oceania,APAC
56,Tallahassee,Florida,United States,32303.0,South,US
57,Dhaka,Dhaka,Bangladesh,,Central Asia,APAC
58,Munster,Lower Saxony,Germany,,Central,EU
59,Celle,Lower Saxony,Germany,,Central,EU
60,Wuxi,Jiangsu,China,,North Asia,APAC
61,Richmond,Virginia,United States,23223.0,South,US
62,Seville,Andalusía,Spain,,South,EU
63,Raipur,Uttarakhand,India,,Central Asia,APAC
64,Gómez Palacio,Durango,Mexico,,North,LATAM
65,Kharkiv,Kharkiv,Ukraine,,EMEA,EMEA
66,Jinan,Shandong,China,,North Asia,APAC
67,Chinandega,Chinandega,Nicaragua,,Central,LATAM
68,Kananga,Kasai-Occidental,Democratic Republic of the Congo,,Africa,Africa
69,Palembang,Sumatera Selatan,Indonesia,,Southeast Asia,APAC
70,London,England,United Kingdom,,North,EU
71,Melbourne,Victoria,Australia,,Oceania,APAC
72,Atlanta,Georgia,United States,30318.0,South,US
73,Duisburg,North Rhine-Westphalia,Germany,,Central,EU
74,Nanchong,Sichuan,China,,North Asia,APAC
75,Naihati,West Bengal,India,,Central Asia,APAC
76,Lille,Nord-Pas-de-Calais,France,,Central,EU
77,Meknes,Meknès-Tafilalet,Morocco,,Africa,Africa
78,Jackson,Michigan,United States,49201.0,Central,US
79,Philadelphia,Pennsylvania,United States,19134.0,East,US
80,Krefeld,North Rhine-Westphalia,Germany,,Central,EU
81,Bandung,Jawa Barat,Indonesia,,Southeast Asia,APAC
82,Casablanca,Grand Casablanca,Morocco,,Africa,Africa
83,Tongi,Dhaka,Bangladesh,,Central Asia,APAC
84,Henderson,Nevada,United States,89015.0,West,US
85,Montréal,Quebec,Canada,,Canada,Canada
86,Manila,National Capital,Philippines,,Southeast Asia,APAC
87,Newcastle,New South Wales,Australia,,Oceania,APAC
88,Graz,Styria,Austria,,Central,EU
89,Nowra,New South Wales,Australia,,Oceania,APAC
90,Boulogne-Billancourt,Ile-de-France,France,,Central,EU
91,Malakoff,Ile-de-France,France,,Central,EU
92,Kinshasa,Kinshasa,Democratic Republic of the Congo,,Africa,Africa
93,Perth,Western Australia,Australia,,Oceania,APAC
94,Le Bouscat,Aquitaine,France,,Central,EU
95,Puebla,Puebla,Mexico,,North,LATAM
96,Augsburg,Bavaria,Germany,,Central,EU
97,Nice,Provence-Alpes-Côte d'Azur,France,,Central,EU
98,Seattle,Washington,United States,98105.0,West,US
99,Medellín,Antioquia,Colombia,,South,LATAM
100,Bergen op Zoom,North Brabant,Netherlands,,Central,EU
101,Lakewood,New Jersey,United States,8701.0,East,US
102,Hanover,Lower Saxony,Germany,,Central,EU
103,Vigo,Galicia,Spain,,South,EU
104,Gaoyou,Jiangsu,China,,North Asia,APAC
105,Los Angeles,California,United States,90045.0,West,US
106,Bremen,Bremen,Germany,,Central,EU
107,Muret,Midi-Pyrénées,France,,Central,EU
108,Zigong,Sichuan,China,,North Asia,APAC
109,Adelaide,South Australia,Australia,,Oceania,APAC
110,Detroit,Michigan,United States,48205.0,Central,US
111,Chelles,Ile-de-France,France,,Central,EU
112,Kuantan,Pahang,Malaysia,,Southeast Asia,APAC
113,Harrisonburg,Virginia,United States,22801.0,South,US
114,Philadelphia,Pennsylvania,United States,19120.0,East,US
115,Everett,Massachusetts,United States,2149.0,East,US
116,Quito,Pichincha,Ecuador,,South,LATAM
117,Vadodara,Gujarat,India,,Central Asia,APAC
118,Sanya,Hainan,China,,North Asia,APAC
119,Bangkok,Bangkok,Thailand,,Southeast Asia,APAC
120,San Diego,California,United States,92037.0,West,US
121,Tasikmalaya,Jawa Barat,Indonesia,,Southeast Asia,APAC
122,Guaymas,Sonora,Mexico,,North,LATAM
123,Wuhan,Hubei,China,,North Asia,APAC
124,Madison,Wisconsin,United States,53711.0,Central,US
125,Salto,São Paulo,Brazil,,South,LATAM
126,Treviso,Veneto,Italy,,South,EU
127,Hargeysa,Woqooyi Galbeed,Somalia,,Africa,Africa
128,Long Beach,California,United States,90805.0,West,US
129,Yogyakarta,Yogyakarta,Indonesia,,Southeast Asia,APAC
130,Anshan,Liaoning,China,,North Asia,APAC
131,New York City,New York,United States,10035.0,East,US
