order_details_id,order_id,product_id,quantity,sales,discount,profit,shipping_cost
1,CA-2012-124891,TEC-AC-10003033,7,2309.65,0.0,762.1845,933.57
2,IN-2013-77878,FUR-CH-10003950,9,3709.395,0.1,-288.765,923.63
3,IN-2013-71249,TEC-PH-10004664,9,5175.171,0.1,919.971,915.49
4,ES-2013-1579342,TEC-PH-10004583,5,2892.51,0.1,-96.54,910.16
5,SG-2013-4320,TEC-SHA-10000501,8,2832.96,0.0,311.52,903.04
6,IN-2013-42360,TEC-PH-10000030,5,2862.675,0.1,763.275,897.35
7,IN-2011-81826,FUR-CH-10004050,4,1822.08,0.0,564.84,894.77
8,IN-2012-86369,FUR-TA-10002958,6,5244.84,0.0,996.48,878.38
9,CA-2014-135909,OFF-BI-10003527,5,5083.96,0.2,1906.485,867.69
10,CA-2012-116638,FUR-TA-10000198,13,4297.644,0.4,-1862.3124,865.74
11,CA-2011-102988,OFF-SU-10002881,5,4164.05,0.0,83.281,846.54
12,ID-2012-28402,FUR-TA-10001889,5,4626.15,0.0,647.55,835.57
13,SA-2011-1830,TEC-CIS-10001717,4,2616.96,0.0,1151.4,832.41
14,MX-2012-130015,FUR-CH-10002033,7,2221.8,0.0,622.02,810.25
15,IN-2013-73951,OFF-AP-10003500,12,3701.52,0.0,1036.08,804.54
16,ES-2014-5099955,OFF-AP-10000423,4,1869.588,0.1,186.948,801.66
17,CA-2014-143567,TEC-AC-10004145,9,2249.91,0.0,517.4793,780.7
18,ES-2014-1651774,OFF-AP-10004512,14,7958.58,0.0,3979.08,778.32
19,IN-2014-11763,TEC-CO-10000865,9,2565.594,0.1,28.404,766.93
20,TZ-2014-8190,OFF-KIT-10004058,6,3409.74,0.0,818.28,763.38
21,PL-2012-7820,FUR-HON-10000224,4,1977.72,0.0,276.84,759.47
22,CA-2011-154627,TEC-PH-10001363,6,2735.952,0.2,341.994,752.51
23,IN-2011-44803,FUR-CH-10000027,6,2754.0,0.0,358.02,752.47
24,ES-2013-2860574,OFF-AP-10003590,10,5273.7,0.0,1898.4,730.91
25,US-2014-133193,TEC-PH-10004182,4,1713.84,0.0,445.52,728.97
26,MX-2014-165309,FUR-TA-10002827,8,2106.496,0.2,526.496,728.39
27,IN-2011-10286,FUR-TA-10004744,2,1715.16,0.0,720.36,725.57
28,ES-2011-4699764,OFF-AP-10004512,6,3069.738,0.1,1364.238,725.34
29,CA-2013-159016,TEC-PH-10002885,8,4158.912,0.2,363.9048,714.66
30,IN-2012-44810,FUR-CH-10001415,4,1878.72,0.0,582.36,704.08
31,US-2011-128776,TEC-PH-10002815,5,1696.64,0.2,-148.46,704.06
32,ES-2012-5870268,TEC-MA-10000161,9,2402.865,0.15,763.155,699.55
33,CA-2012-139731,FUR-CH-10002024,5,2453.43,0.3,-350.49,690.42
34,IN-2011-28087,OFF-AP-10004246,5,2526.93,0.1,561.48,689.8
35,CA-2011-168494,FUR-TA-10003473,12,3610.848,0.2,135.4068,683.12
36,CG-2011-8610,TEC-APP-10000308,6,3817.26,0.0,1068.66,678.15
37,CA-2011-160766,TEC-MA-10003979,4,2799.96,0.0,1371.9804,675.15
38,US-2014-168116,TEC-MA-10004125,4,7999.98,0.5,-3839.9904,674.82
39,ES-2014-2637201,TEC-CO-10000013,13,4141.02,0.0,1697.67,668.96
40,IN-2011-61302,TEC-PH-10004664,5,2875.095,0.1,511.095,665.27
41,ID-2013-63976,TEC-PH-10000499,6,3200.5962,0.17,-77.2038,660.87
42,IN-2014-37320,TEC-PH-10003856,7,4518.78,0.0,632.52,658.69
