order_id,order_date,ship_date,ship_mode,order_priority,customer_id
CA-2012-124891,2022-07-31,2022-07-31,Same Day,Critical,RH-19495
IN-2013-77878,2023-02-05,2023-02-07,Second Class,Critical,JR-16210
IN-2013-71249,2023-10-17,2023-10-18,First Class,Medium,CR-12730
ES-2013-1579342,2023-01-28,2023-01-30,First Class,Medium,KM-16375
SG-2013-4320,2023-11-05,2023-11-06,Same Day,Critical,RH-9495
IN-2013-42360,2023-06-28,2023-07-01,Second Class,Critical,JM-15655
IN-2011-81826,2021-11-07,2021-11-09,First Class,Critical,TS-21340
IN-2012-86369,2022-04-14,2022-04-18,Standard Class,High,MB-18085
CA-2014-135909,2024-10-14,2024-10-21,Standard Class,Low,JW-15220
CA-2012-116638,2022-01-28,2022-01-31,Second Class,Critical,JH-15985
CA-2011-102988,2021-04-05,2021-04-09,Second Class,High,GM-14695
ID-2012-28402,2022-04-19,2022-04-22,First Class,High,AJ-10780
SA-2011-1830,2021-12-27,2021-12-29,Second Class,Critical,MM-7260
MX-2012-130015,2022-11-13,2022-11-13,Same Day,Critical,VF-21715
IN-2013-73951,2023-06-06,2023-06-08,Second Class,Critical,PF-19120
ES-2014-5099955,2024-07-31,2024-08-03,Second Class,Critical,BP-11185
CA-2014-143567,2024-11-03,2024-11-06,Second Class,Critical,TB-21175
ES-2014-1651774,2024-09-08,2024-09-14,Standard Class,Low,PJ-18835
IN-2014-11763,2024-01-31,2024-02-01,First Class,Critical,JS-15685
TZ-2014-8190,2024-12-05,2024-12-07,Second Class,High,RH-9555
PL-2012-7820,2022-08-08,2022-08-10,First Class,Critical,AB-600
CA-2011-154627,2021-10-29,2021-10-31,First Class,High,SA-20830
IN-2011-44803,2021-05-02,2021-05-03,First Class,Critical,JK-15325
ES-2013-2860574,2023-02-27,2023-03-01,Second Class,High,LB-16795
US-2014-133193,2024-07-31,2024-08-01,First Class,Critical,NP-18325
MX-2014-165309,2024-09-05,2024-09-08,First Class,Critical,VD-21670
IN-2011-10286,2021-12-17,2021-12-20,First Class,Critical,PB-19210
ES-2011-4699764,2021-03-14,2021-03-17,Second Class,Critical,EB-14110
CA-2013-159016,2023-03-11,2023-03-12,First Class,High,KF-16285
IN-2012-44810,2022-02-25,2022-02-25,Same Day,Critical,BP-11230
US-2011-128776,2021-12-28,2021-12-30,Second Class,Critical,RR-19525
ES-2012-5870268,2022-07-17,2022-07-19,First Class,Critical,BS-11365
